10	名詞,*,*,*;代名詞,*,*,*
2A	動詞,*,連体形-一般,*;動詞,*,終止形-一般,*
2D	助動詞,*,連体形-補助,*
2G	動詞,*,連用形-一般,*
2H	動詞,*,連用形-促音便,*
2M	助動詞,*,未然形-一般,*
2N	動詞,*,意志推量形,*
2P	助動詞,*,未然形-一般,*
2S	動詞,*,仮定形-一般,*
2U	動詞,*,仮定形-一般,*
2W	動詞,*,命令形,*
2X	動詞,*,命令形,*
2Y	助動詞,*,命令形,*
2g	動詞,下一段,連用形-一般,*;動詞,上一段,連用形-一般,*;動詞,カ行変格,連用形-一般,*;動詞,サ行変格,連用形-一般,*;動詞,五段-サ行,連用形,*
2m	動詞,下一段,未然形-一般,*
39	副詞,*,*,*
3A	形容詞,*,終止形-一般,*;形容詞,*,連体形-一般,*
3C	助動詞,文語助動詞,終止形-一般,*
3D	助動詞,文語助動詞,連体形-一般,*
3H	形容詞,*,連用形-促音便,*
3I	形容詞,*,連用形-一般,*
3J	形容詞,*,連用形-一般,*
3K	形容詞,*,連用形-一般,*
3L	形容詞,*,語幹-一般,*
3N	形容詞,*,意志推量形,*
3S	形容詞,*,仮定形-一般,*
3T	形容詞,*,仮定形-一般,*
3U	形容詞,*,仮定形-融合,*
40	接続詞,*,*,*
60	助詞,*,*,*;名詞-普通名詞-副詞可能,*,*,きり;名詞-普通名詞-副詞可能,*,*,っきり
69	助詞-格助詞,*,*,の
6A	助詞-終助詞,*,*,わ
6E	助詞-終助詞,*,*,わ;助詞-終助詞,*,*,な;助詞-終助詞,*,*,かい
6G	助詞-格助詞,*,*,が;助詞-格助詞,*,*,の;助詞-格助詞,*,*,を;助詞-副助詞,*,*,や;助詞-格助詞,*,*,にゃ
6H	助詞-接続助詞,*,*,て;助詞-接続助詞,*,*,で
6K	助詞-副助詞,*,*,か;助詞-終助詞,*,*,か;助詞-終助詞,*,*,っけ
6P	助詞-格助詞,*,*,に;助詞-格助詞,*,*,へ;助詞-格助詞,*,*,で;助詞-格助詞,*,*,から;助詞-副助詞,*,*,まで;助詞-格助詞,*,*,より;助詞-格助詞,*,*,と;助詞-接続助詞,*,*,つつ;助詞-接続助詞,*,*,ながら
6Q	助詞-接続助詞,*,*,ちゃ;助詞-接続助詞,*,*,じゃ;助詞-格助詞,*,*,って;助詞-接続助詞,*,*,と;助詞-接続助詞,*,*,ば;助動詞,助動詞-タ,仮定形-一般,た;助動詞,助動詞-ダ,仮定形-一般,だ;助詞-接続助詞,*,*,けれど;助詞-接続助詞,*,*,けど;助詞-接続助詞,*,*,ど;助詞-接続助詞,*,*,が;助詞-接続助詞,*,*,から;助詞-接続助詞,*,*,し;助詞-接続助詞,*,*,や;助詞-接続助詞,*,*,なり;助詞-格助詞,*,*,を;名詞-普通名詞-副詞可能,*,*,きり;名詞-普通名詞-副詞可能,*,*,っきり
6R	助動詞,助動詞-ダ,仮定形-一般,だ
6T	助詞-係助詞,*,*,は;助詞-係助詞,*,*,も;助詞-副助詞,*,*,ばかり;助詞-副助詞,*,*,ばっかり
7A	助動詞,助動詞-ダ,終止形-一般,だ;助動詞,助動詞-タ,終止形-一般,た
7D	助動詞,助動詞-ダ,連体形-一般,だ
7G	助動詞,助動詞-ダ,連用形-一般,だ
7H	助動詞,助動詞-ダ,連用形-促音便,だ
7Z	助詞-副助詞,*,*,じゃ
80	助動詞,*,*,*
81	助動詞,文語助動詞-ベシ,連体形-一般,べし
82	助動詞,助動詞-ヌ,連用形-一般,*
83	助動詞,助動詞-ヌ,終止形-一般,*;助動詞,助動詞-ヌ,連体形-一般,*;助動詞,助動詞-ヌ,終止形-撥音便,*;助動詞,助動詞-ヌ,連体形-撥音便,*
84	助動詞,*,仮定形-一般,*
88	助動詞,助動詞-タ,連体形-一般,た
89	助動詞,助動詞-ダ,終止形-一般,だ
8N	助動詞,助動詞-ダ,意志推量形,だ
90	*,*,*,*
00	None,None,None,None
01	補助記号-読点,*,*,*;補助記号-句点,*,*,*
6U	助詞-終助詞,*,*,*
